loc_id,osm_lat,osm_lon,osm_yaw,wayidx,neighbor,pano_id,gsv_lat,gsv_lon,gsv_yaw
2081,52.539812572073387,1.483049869985353,2.357594101297276e+02,111,,wHy1QvWaiGuuth3yo0sT_w,52.539791000000001,1.483118000000000,2.354099900000000e+02
2082,52.539761357916646,1.482926155410996,2.357593119295375e+02,111,,XbYvc820vFLjfmK2TCayCA,52.539738999999997,1.483004000000000,2.400100000000000e+02
2083,52.539710143630934,1.482802441125282,2.357592137259489e+02,111,,g-mUNYHinL_0ECXGLRcgvw,52.539690000000000,1.482895000000000,2.284099900000000e+02
2084,52.539658929216252,1.482678727128212,2.357591155208742e+02,111,,rxVqIHYJYIMqVjSCMJrL1g,52.539633000000002,1.482770000000000,2.290699900000000e+02
2085,52.539607714672606,1.482555013419784,2.357590173237728e+02,111,,18_ONnTtj0Qa_4mfDysVTg,52.539575999999997,1.482643000000000,2.364399900000000e+02
2086,52.539644280037798,1.482383940378780,3.418328990992404e+02,111,,FMgBccKuh2KVPay9J7HcYw,52.539620999999997,1.482435000000000,3.430800000000000e+02
2087,52.539732060056700,1.482336580568171,3.418328615044470e+02,111,,raV6GHyLC8_oRD-H_NjfEQ,52.539704000000000,1.482382000000000,3.422200000000000e+02
2088,52.539819840056694,1.482289220568173,3.418328239130777e+02,111,,r3VqX_cCrnhah-20RZPTIg,52.539799000000002,1.482335000000000,3.423100000000000e+02
2089,52.539907620037802,1.482241860378783,3.418327863186523e+02,111,,wnNNjzKxtHLo5xqICyjpuQ,52.539901999999998,1.482284000000000,3.431800000000000e+02
2090,52.540030050079537,1.482331899891554,6.747943309540815e+01,111,,8DpeT8IsEm1RMBlxIIxMfg,52.540028999999997,1.482374000000000,7.386000000000000e+01
2091,52.542359300000001,1.463676800000000,1.108898000379398e+02,112,,DKIgIe-oirGYWkKdjrQQyw,52.542366999999999,1.463699000000000,1.067000000000000e+02
2092,52.542327500079075,1.463813800099244,1.108899087926220e+02,112,,8fW54NOQhtncQ2d-wYpOog,52.542332000000002,1.463898000000000,1.061700000000000e+02
2093,52.542271900161467,1.464089233483443,1.057848906417282e+02,112,,zc1Cf6lO-hSpZaiAaaHT0g,52.542298000000002,1.464097000000000,1.060700000000000e+02
2094,52.542248100161466,1.464227666816776,1.057850005185898e+02,112,,F_xjrs3svXMeqzaxLuihcg,52.542265000000000,1.464288000000000,1.066000000000000e+02
