loc_id,osm_lat,osm_lon,osm_yaw,wayidx,neighbor,pano_id,gsv_lat,gsv_lon,gsv_yaw
670,40.72715699999999827696,-74.00554499999999791271,2.773056719856578e+02,29,,RA9bPWzJIH8VUAzr9_Ufmg,40.72716400000000191994,-74.00554900000000202454,1.873600000000000e+02
671,40.72716840083183598153,-74.00566234638522189471,2.773055954184420e+02,29,,o3BmoIFvgl6PTHetplk3yA,40.72717600000000004457,-74.00568699999999466854,2.761000000000000e+02
672,40.72717980154484251898,-74.00577969281067680640,2.773055188519979e+02,29,,sEdaKq_l8ArnvoxhUBGoiw,40.72718100000000163163,-74.00573699999999632837,2.681900000000000e+02
673,40.72719120213900367844,-74.00589703927632001523,2.773054422923736e+02,29,,xmRvsltf4XT3JRbLrjiY1w,40.72719599999999928741,-74.00590200000000606906,2.784199800000000e+02
674,40.72720260261434077620,-74.00601438578216573205,2.773053657271386e+02,29,,NUFrxv-qEVtEpFD5Gm5bmg,40.72720300000000293039,-74.00597299999999734155,2.722200000000000e+02
675,40.72721400297084670683,-74.00613173232821395686,2.773052891618917e+02,29,,oJveX6NJJpY_ef5yIqV1FQ,40.72721800000000058617,-74.00613800000000708224,2.808200000000000e+02
676,40.72722540320851436491,-74.00624907891449311137,2.773052125994327e+02,29,,CuCP3Gdrg5tyISKxsLr_cw,40.72722499999999712372,-74.00620899999999835472,2.725800000000000e+02
677,40.72723680332735085585,-74.00636642554096056301,2.773051360397613e+02,29,,ivvK682NYuZI6dLAmM-ZYw,40.72723500000000029786,-74.00631500000000073669,2.764100000000000e+02
678,40.72724820332735617967,-74.00648377220761631179,2.773050594684310e+02,29,,oXj7mlgYKG1vAenbjRROnQ,40.72724600000000094724,-74.00643200000000376804,2.773200000000000e+02
679,40.72725960320851612551,-74.00660111891450299026,2.773049829079526e+02,29,,8Us9iJLyBd2JDjANawRunA,40.72725700000000159662,-74.00655000000000427463,2.774100000000000e+02
680,40.72727100297085200964,-74.00671846566157796588,2.773049063454465e+02,29,,5VAo29UY3hLfVh2QywdQ6Q,40.72726800000000224600,-74.00666800000000478121,2.831800000000000e+02
681,40.72728240261434962122,-74.00683581244885544947,2.773048297809125e+02,29,,ghZoxgEYiDRJtmzvKYem2Q,40.72727900000000289538,-74.00678600000000528780,2.839700000000000e+02
682,40.72729380213901606567,-74.00695315927633544106,2.773047532155833e+02,29,,mYYhAU3tAHs2qfY_FkCjCA,40.72729799999999755755,-74.00699199999999677857,2.818000000000000e+02
683,40.72730520154484423756,-74.00707050614403215150,2.773046766566247e+02,29,,EKJI000_LE7w92al_jrA5A,40.72730599999999867578,-74.00708000000000197360,2.778300000000000e+02
684,40.72731660083184124233,-74.00718785305191715906,2.773046000832077e+02,29,,Ei8BsecI_GGCpVz8NwCSBA,40.72731600000000184991,-74.00718600000000435557,2.720800000000000e+02
685,40.72732799999999997453,-74.00730520000000467462,2.769387386480392e+02,29,,vxS5bd_cMhB7d-J6-HVICA,40.72732799999999997453,-74.00731700000000046202,7.109999700000000e+00
686,40.72733892380334452810,-74.00742364592053945671,2.769386613630372e+02,29,,EogBj0FugIDNFp4SsXUC5g,40.72733499999999651209,-74.00739900000000659475,2.798400000000000e+02
687,40.72734984748561970491,-74.00754209187996934816,2.769385840852878e+02,29,,wGXvjxNaXTXb0n4azD1CGA,40.72734400000000221098,-74.00749299999999664124,2.786200000000000e+02
688,40.72736077104683261041,-74.00766053787828013810,2.769385068015253e+02,29,,GoK-m2aA_39GtPfs1TO9EQ,40.72736199999999939791,-74.00769900000000234286,2.776500000000000e+02
689,40.72737169448696903373,-74.00777898391548603740,2.769384295292300e+02,29,,kMogqLCOqcfoQ7hqDKkY9A,40.72736499999999892907,-74.00773499999999671672,2.767200000000000e+02
690,40.72738261780604318574,-74.00789742999155862435,2.769383522334411e+02,29,,jPZa03SOlJqYC6JEJjlGBg,40.72737899999999910960,-74.00790000000000645741,2.770900000000000e+02
691,40.72739354100403375014,-74.00801587610652632065,2.769382749616474e+02,29,,ZgnoIJNjuNu0lkYD3vqjwA,40.72738499999999817192,-74.00797099999999772990,2.778000000000000e+02
692,40.72362499999999840838,-74.00478599999999573811,3.503858460547251e+01,30,,RrPZS8y14QNmqpP3fprRAA,40.72363200000000205137,-74.00481399999999609918,1.673000000000000e+01
