loc_id,osm_lat,osm_lon,osm_yaw,wayidx,neighbor,pano_id,gsv_lat,gsv_lon,gsv_yaw
1,55.959046499999999,-3.226998200000000,3.227389844096516e+02,1,,ARV67DeQHIy8PWuXjEP8rQ,55.959049999999998,-3.226978000000000,1.424200000000000e+02
2,55.959131050053422,-3.227113099749011,3.227388892115702e+02,1,,sq_eWRPMECwciZ1K4z5OWg,55.959125999999998,-3.227069000000000,1.420400000000000e+02
3,55.959215600000000,-3.227228000000000,3.232853940520696e+02,1,,amHh29YqkQ_T8b3zqa5f4g,55.959243000000001,-3.227218000000000,1.416600000000000e+02
4,55.959290960163223,-3.227328399218085,3.232853108477519e+02,1,,XGoUDTaInr8q5ubjG0ifFw,55.959344999999999,-3.227348000000000,1.418400000000000e+02
5,55.959441680244822,-3.227529198827123,3.232851444608303e+02,1,,YmatmG3FExh8GS2-zF_UqQ,55.959491999999997,-3.227534000000000,1.424400000000000e+02
6,55.959517040163206,-3.227629599218081,3.232850612687382e+02,1,,2nwgJLkgm_s_j1e1bKaQPg,55.959564999999998,-3.227627000000000,1.422099900000000e+02
7,55.959592399999998,-3.227730000000000,3.208229803245909e+02,1,,xPhkroZGdXwHnCkQqgNcEA,55.959636000000003,-3.227721000000000,1.424100000000000e+02
8,55.959651200000003,-3.227815600000000,3.232836958015370e+02,1,,Ux83XuNRY9VMqWV590bh-w,55.959663999999997,-3.227762000000000,1.426600000000000e+02
9,55.959720025102122,-3.227907299510821,3.232836198086719e+02,1,,hpCwY6894tEUCw6GQkkQgg,55.959733999999997,-3.227863000000000,1.423600000000000e+02
10,55.959788850136157,-3.227998999347760,3.232835438258206e+02,1,,dJP5bxHvFaTsrmHcFnMHvA,55.959803000000001,-3.227965000000000,1.426500000000000e+02
11,55.959857675102121,-3.228090699510820,3.232834678345445e+02,1,,s4kbEl_YyBXLcOtmpt3ejQ,55.959873000000002,-3.228066000000000,1.428000000000000e+02
12,55.959926500000002,-3.228182400000000,3.219000305550643e+02,1,,CT28bFf-UYCUHO42Ybvu8Q,55.959943000000003,-3.228168000000000,1.425900000000000e+02
13,55.959994720147861,-3.228277959326272,3.218999513658597e+02,1,,JEWjWRWBEs_BFwWfl9pJdQ,55.960031000000001,-3.228295000000000,1.424000000000000e+02
14,55.960062940221789,-3.228373518989405,3.218998721785396e+02,1,,5y7v0VmfUGCb5MSf-HL_1Q,55.960101000000002,-3.228396000000000,1.423100000000000e+02
15,55.960131160221785,-3.228469078989403,3.218997930003995e+02,1,,4oUDa9EPglDefE1pQq_rPg,55.960169999999998,-3.228497000000000,1.425999900000000e+02
16,55.960199380147870,-3.228564639326266,3.218997138069347e+02,1,,w-zdy4Tg-QgRo_rYdq4ShQ,55.960239999999999,-3.228599000000000,1.424300000000000e+02
17,55.960267600000002,-3.228660200000000,3.225925177767481e+02,1,,s7KWJ8-7HIo9OWzbrDY9xw,55.960275000000003,-3.228649000000000,1.422200000000000e+02
18,55.960327399999997,-3.228741900000000,3.226240214191806e+02,1,,hM06zihx1dOVlAwsvLHCwA,55.960348000000003,-3.228749000000000,1.418499900000000e+02
19,55.960405660184684,-3.228848699136198,3.226239329155746e+02,1,,JMms5syqLJCg1vK3i5rr1Q,55.960377000000001,-3.228788000000000,1.417300000000000e+02
20,55.960483920277021,-3.228955498704293,3.226238444145414e+02,1,,meivP1h0hOjxwfziTmAnCA,55.960498000000001,-3.228947000000000,1.417600000000000e+02
21,55.960562180277016,-3.229062298704291,3.226237559235410e+02,1,,0DuZd9w4mCNfMJN4PIJeRA,55.960538000000000,-3.229003000000000,1.418000000000000e+02
22,55.960640440184690,-3.229169099136193,3.226236674158202e+02,1,,2Fs3BK9rrSOwleeirYIS9g,55.960681000000001,-3.229199000000000,1.416200000000000e+02
23,55.960718700000001,-3.229275900000000,3.214465884773800e+02,1,,mPYBr28WhXJjxf8bTKR7Ug,55.960751999999999,-3.229298000000000,1.417700000000000e+02
24,55.960783950034951,-3.229368799843383,3.214465114852364e+02,1,,yPyRrjX2FPzEBH0v9BKodw,55.960822999999998,-3.229396000000000,1.426800000000000e+02
25,55.960849199999998,-3.229461700000000,3.214615814201858e+02,1,,xlKwFXvMaI7LluP10OO4iw,55.960858999999999,-3.229445000000000,1.424200000000000e+02
26,55.960941400000003,-3.229592900000000,3.236965342447584e+02,1,,jvfiyWN4jgoJlbviB0Tglg,55.960937000000001,-3.229552000000000,1.418300000000000e+02
27,55.961015711419151,-3.229690431835199,3.236964534267648e+02,1,,mJ9vFmWDf_EK6IO-nP1Dqw,55.961002000000001,-3.229640000000000,1.428700000000000e+02
28,55.961090022761297,-3.229787964044925,3.236963726086645e+02,1,,XYV8-Ins39EWhjrL7jJvXQ,55.961084000000000,-3.229753000000000,1.429800000000000e+02
29,55.961164334026442,-3.229885496629184,3.236962917901233e+02,1,,QWJaZCXMQY-I7dBoHDQQ_g,55.961154999999998,-3.229851000000000,1.429500000000000e+02
30,55.961238645214578,-3.229983029587975,3.236962109615015e+02,1,,Ge8C1E1idxZ1K86l2ylmfQ,55.961266000000002,-3.230002000000000,1.424000000000000e+02
31,55.961312956325685,-3.230080562921301,3.236961301364506e+02,1,,p3_zoYaVwrzOffdO4Ej_3A,55.961297999999999,-3.230046000000000,1.429300000000000e+02
32,55.961387267359775,-3.230178096629165,3.236960493275069e+02,1,,vhYenp40ZTfQhaJtNkv8zw,55.961418000000002,-3.230211000000000,1.429100000000000e+02
33,55.961461578316879,-3.230275630711568,3.236959684903186e+02,1,,dLx9Iqa6gbkK6Iq6vo4PyQ,55.961483000000001,-3.230299000000000,1.434100000000000e+02
34,55.961535889196938,-3.230373165168512,3.236958876761469e+02,1,,qnCosBa-k6wGsP8V-XzpIw,55.961502000000003,-3.230325000000000,1.442200000000000e+02
35,55.961610200000003,-3.230470700000000,3.247137519165751e+02,1,,EutAdZaTxdMNGeyf-e89zQ,55.961596999999998,-3.230455000000000,1.432399900000000e+02
36,55.961682466835626,-3.230562065813645,3.247136761987923e+02,1,,K87rfHFG_UBugmQyQ5AMIw,55.961669999999998,-3.230556000000000,1.433499900000000e+02
37,55.961754733603655,-3.230653431968497,3.247136004903065e+02,1,,X_rQ-eot-YQl11X3BYULVQ,55.961737999999997,-3.230647000000000,1.440400000000000e+02
38,55.961827000304112,-3.230744798464556,3.247135247785087e+02,1,,RIX6x5ionsolbTYnf5SYTQ,55.961804000000001,-3.230738000000000,1.435699900000000e+02
39,55.961899266936989,-3.230836165301825,3.247134490703115e+02,1,,FYE7UEEP2ghyb8Kv8WwkKA,55.961871000000002,-3.230828000000000,1.437099900000000e+02
40,55.961971533502300,-3.230927532480307,3.247133733492762e+02,1,,VpWQs7gyjg6wm3Z2Fm4h5w,55.961959000000000,-3.230925000000000,1.474300000000000e+02
41,55.962043799999996,-3.231018900000000,3.291029806262209e+02,1,,APvGMTVrqqJSWxcLVPmvAQ,55.962038999999997,-3.231012000000000,1.485699900000000e+02
42,55.962116150121091,-3.231096249276997,3.291029165211033e+02,1,,U87M5i7EV1M2U51hKmacfg,55.962076000000003,-3.231053000000000,1.485000000000000e+02
43,55.962188500193733,-3.231173598843192,3.291028524334560e+02,1,,ySkyhWCkHsKUHgcL1Cif9w,55.962198999999998,-3.231185000000000,1.490699900000000e+02
44,55.962260850217959,-3.231250948698588,3.291027883288737e+02,1,,2zcxbVV0ZT2XgFVkU3X2iQ,55.962282999999999,-3.231276000000000,1.500600000000000e+02
45,55.962333200193733,-3.231328298843187,3.291027242360827e+02,1,,bKD4pKGFUzXxYQqtePiVdA,55.962367999999998,-3.231368000000000,1.477500000000000e+02
46,55.962477900000003,-3.231483000000000,3.304800061963419e+02,1,,cS8FsW5q1TdxVdUYrnDxrQ,55.962454000000001,-3.231462000000000,1.755999900000000e+02
47,55.962559700027711,-3.231565749825095,3.304799376251175e+02,1,,GJnBEjbp5uVf843wet_LPw,55.962524999999999,-3.231535000000000,1.205799940000000e+02
48,55.962641499999997,-3.231648500000000,3.305996441337923e+02,1,,y63adHmSfPIj01SHcb1cDQ,55.962653000000003,-3.231651000000000,1.506500000000000e+02
49,55.962711166706498,-3.231718633080835,3.305995860106052e+02,1,,52ieF8HxyMyUUq252gnmMA,55.962766000000002,-3.231760000000000,1.510800000000000e+02
50,55.962850500000002,-3.231858900000000,3.305995278934868e+02,1,,98m1Umd_hExk7fgOLqQgpA,55.962845000000002,-3.231837000000000,1.517900000000000e+02
51,55.958070900000003,-3.225656100000000,1.438261318163020e+02,2,,9Vm72298HZE5Z2SjNq5uOA,55.958061000000001,-3.225635000000000,1.443799900000000e+02
52,55.958007533388788,-3.225573333062345,1.438262003894165e+02,2,,J1NBPp5F87JfdRfNR7sylA,55.957988000000000,-3.225542000000000,1.437000000000000e+02
53,55.957944166722136,-3.225490566395678,1.438262689835022e+02,2,,YlEIEeL3zLjJ60GerITwOA,55.957918999999997,-3.225453000000000,1.432000000000000e+02
54,55.957880799999998,-3.225407800000000,1.433442680300941e+02,2,,VBXl9_hCe2ciRxJI-hZzDg,55.957875000000001,-3.225397000000000,1.430900000000000e+02
55,55.957816050089981,-3.225321724568046,1.433443393620416e+02,2,,qyqB0f970scXMCQjh2vPVQ,55.957802000000001,-3.225304000000000,1.432200000000000e+02
56,55.957751300119966,-3.225235649424062,1.433444106817770e+02,2,,pZs_xp4h1EEfi7pqg8AmiQ,55.957728000000003,-3.225210000000000,1.435300000000000e+02
57,55.957686550089974,-3.225149574568048,1.433444820049687e+02,2,,4UxfoUB7GaUrYRLXMuolzQ,55.957652000000003,-3.225111000000000,1.438000000000000e+02
58,55.957543800000003,-3.224957800000000,1.429214142799222e+02,2,,0C4TF0aAlAjDWFdNx-R74Q,55.957509000000002,-3.224918000000000,1.434800000000000e+02
59,55.957463500000003,-3.224849400000000,1.439575110557429e+02,2,,H5aGADVDcjql2VbG5d65Xg,55.957436999999999,-3.224821000000000,1.431700000000000e+02
60,55.957393133401062,-3.224757933000787,1.439575868523776e+02,2,,1TffI226egnHYNd7mWUANw,55.957365000000003,-3.224724000000000,1.433000000000000e+02
61,55.957322766734386,-3.224666466334123,1.439576626299841e+02,2,,bnBsMOfrwcw_KzB374quFw,55.957307000000000,-3.224646000000000,1.440200000000000e+02
62,55.957252400000002,-3.224575000000000,1.450960778054385e+02,2,,ty5Lr84_Z-oxOQ0ddLRD_Q,55.957228000000001,-3.224542000000000,1.447900000000000e+02
63,55.957186633387728,-3.224493033054808,1.450961457286516e+02,2,,mYIFDpooLMusbt0rn8GuHQ,55.957155000000000,-3.224447000000000,1.462800000000000e+02
64,55.957055099999998,-3.224329100000000,1.461841912667702e+02,2,,xz9Mz4AK-xneNqBeskNH2Q,55.957078000000003,-3.224350000000000,1.463600000000000e+02
65,55.956987766719216,-3.224248533053047,1.461842580236323e+02,2,,e0wHOSFxvQbPpzoGLQcqaw,55.957002000000003,-3.224260000000000,1.453799900000000e+02
66,55.956920433385882,-3.224167966386381,1.461843247851675e+02,2,,e_-6gASL7ltNF7cKCbyaUw,55.956927000000000,-3.224170000000000,1.450300000000000e+02
67,55.956853099999996,-3.224087400000000,1.464749476733139e+02,2,,5ZlH4QkkeofagAy_1ERaLg,55.956845999999999,-3.224073000000000,1.452399900000000e+02
68,55.956780507531242,-3.224001490762800,1.464750188684092e+02,2,,pSAABViXaCk9ZOKquYuSCw,55.956814000000001,-3.224035000000000,1.455999900000000e+02
69,55.956707915002717,-3.223915581847813,1.464750900493971e+02,2,,ea41s9KU_fJ9pdFQtAk60g,55.956738999999999,-3.223943000000000,1.460100000000000e+02
70,55.956635322414456,-3.223829673255039,1.464751612338589e+02,2,,oh4qFReH_0kG-BbW3qjnZg,55.956664000000004,-3.223851000000000,1.460900000000000e+02
71,55.956562729766439,-3.223743764984474,1.464752324228283e+02,2,,cv0nWFLIPAFYToRgXPso9Q,55.956553000000000,-3.223721000000000,3.271000000000000e+02
72,55.956490137058665,-3.223657857036119,1.464753035996357e+02,2,,3wZ36iiLstHPSJ2eZ_YiJQ,55.956513000000001,-3.223675000000000,1.459800000000000e+02
73,55.956417544291149,-3.223571949409969,1.464753747837506e+02,2,,3lUokTcrczuJpCEqqOdtXg,55.956437999999999,-3.223590000000000,1.460800000000000e+02
74,55.956344951463890,-3.223486042106025,1.464754459730406e+02,2,,LLv--tBdM4PTdWSMhn3qGg,55.956363000000003,-3.223504000000000,1.462800000000000e+02
75,55.956272358576854,-3.223400135124283,1.464755171530907e+02,2,,0L0ic7jqtfjzgB_YNL_VoQ,55.956288000000001,-3.223419000000000,1.463400000000000e+02
76,55.956199765630096,-3.223314228464743,1.464755883385600e+02,2,,fCTyDvo-Ur50f5IG8Up30w,55.956214000000003,-3.223334000000000,1.463499900000000e+02
77,55.956127172623567,-3.223228322127401,1.464756595218462e+02,2,,N_i30GiTWYLC6c1e83IqDw,55.956139000000000,-3.223248000000000,1.463900000000000e+02
78,55.956054579557303,-3.223142416112258,1.464757307058063e+02,2,,_umh_9lxSYDddpp6p1UZXA,55.956063000000000,-3.223161000000000,1.464400000000000e+02
79,55.955981986431276,-3.223056510419311,1.464758018839938e+02,2,,BwOwuQMd78LiQH2yYGKcXw,55.955987000000000,-3.223074000000000,1.463300000000000e+02
80,55.955909393245513,-3.222970605048557,1.464758730680319e+02,2,,DZaWQwjY0G9KOJYHxUC0dA,55.955910000000003,-3.222986000000000,1.462000000000000e+02
81,55.955836800000000,-3.222884700000000,1.452633673257959e+02,2,,-l2LyOzR2UOZbxAJ99phiw,55.955807999999998,-3.222863000000000,1.459000000000000e+02
